presentation_order,filename,rating,rt_seconds
1,23_1_0_20170117142807780_proc.png,3,50.954
2,18_1_0_20170109212417557_proc.png,3,1.41
3,25_1_0_20170116223849950_proc.png,5,2.116
4,21_1_0_20170114032157249_proc.png,3,2.915
5,24_1_0_20170105003235308_proc.png,3,1.605
6,18_1_0_20170104022856102_proc.png,4,1.725
7,18_1_0_20170109213413212_proc.png,4,0.803
8,18_1_0_20170109214559082_proc.png,5,1.636
9,24_1_0_20170109214739809_proc.png,3,5.163
10,23_1_0_20170117144933457_proc.png,4,3.813
11,20_1_0_20170117193547491_proc.png,3,2.164
12,18_1_0_20170109213919463_proc.png,4,1.22
13,23_1_0_20170103163102400_proc.png,5,1.883
14,23_1_0_20170116173236417_proc.png,3,1.997
15,18_1_0_20170117150406531_proc.png,4,6.837
16,21_1_0_20170117142326768_proc.png,2,2.349
17,18_1_0_20170109212425897_proc.png,2,1.795
18,24_1_0_20170117150535820_proc.png,4,2.748
19,20_1_0_20170103175645974_proc.png,3,2.493
20,21_1_0_20170117142338224_proc.png,3,0.965
21,18_1_0_20170109212914272_proc.png,5,1.341
22,18_1_0_20170109214455239_proc.png,2,6.117
23,23_1_0_20170116221829199_proc.png,1,2.252
24,18_1_0_20170117140343665_proc.png,3,2.172
25,20_1_0_20170117183640921_proc.png,3,1.667
26,21_1_0_20170112233433959_proc.png,5,1.124
27,22_1_0_20170112233731616_proc.png,3,1.243
28,20_1_0_20170117183640921_proc.png,3,6.196
29,24_1_0_20170116205900085_proc.png,4,7.66
30,25_1_0_20170119172023545_proc.png,4,1.037
31,21_1_0_20170117142326768_proc.png,3,0.9
32,24_1_0_20170117150909051_proc.png,3,7.948
33,20_1_0_20170103175629504_proc.png,5,1.027
34,25_1_0_20170117140624359_proc.png,4,2.348
35,22_1_0_20170112192301390_proc.png,4,1.507
36,22_1_0_20170117143206386_proc.png,3,1.561
37,25_1_0_20170117195134252_proc.png,2,1.196
38,18_1_0_20170109212921724_proc.png,2,1.084
39,25_1_0_20170119172030770_proc.png,2,1.347
40,25_1_0_20170104022944286_proc.png,3,2.932
41,24_1_0_20170116000527997_proc.png,4,0.835
42,23_1_0_20170104023208069_proc.png,3,0.908
43,25_1_0_20170117145650515_proc.png,5,2.953
44,23_1_0_20170103180518664_proc.png,3,1.032
45,24_1_0_20170116214235749_proc.png,4,0.836
46,19_1_0_20170103162951552_proc.png,4,0.635
47,22_1_0_20170111182452750_proc.png,3,1.18
48,18_1_0_20170102235007970_proc.png,2,1.868
49,18_1_0_20170117135802544_proc.png,4,2.501
50,20_1_0_20170109214040024_proc.png,3,0.813
51,23_1_0_20170116221815459_proc.png,3,0.822
52,19_1_0_20170116212113630_proc.png,3,1.602
53,25_1_0_20170117191541627_proc.png,3,4.1
54,25_1_0_20170117143952249_proc.png,4,3.692
55,18_1_0_20170109214453184_proc.png,4,0.803
