presentation_order,filename,target_rating,rating,rt_seconds
1,synthetic_corrected_rating_3.23.png,3.228360669395819,4,6.401
2,synthetic_corrected_rating_2.92.png,2.9197627666613912,4,1.452
3,synthetic_corrected_rating_3.85.png,3.845556474864675,4,2.079
4,synthetic_corrected_rating_5.39.png,5.388545988536815,5,1.021
5,synthetic_corrected_rating_5.39.png,5.388545988536815,5,1.096
6,synthetic_corrected_rating_2.61.png,2.6111648639269633,3,1.043
7,synthetic_corrected_rating_3.54.png,3.536958572130247,4,1.275
8,synthetic_corrected_rating_4.46.png,4.462752280333531,5,1.376
9,synthetic_corrected_rating_4.77.png,4.771350183067959,5,1.455
10,synthetic_corrected_rating_3.54.png,3.536958572130247,3,4.232
11,synthetic_corrected_rating_4.15.png,4.154154377599103,4,0.797
12,synthetic_corrected_rating_4.77.png,4.771350183067959,5,0.754
13,synthetic_corrected_rating_4.15.png,4.154154377599103,4,0.831
14,synthetic_corrected_rating_4.46.png,4.462752280333531,5,0.745
15,synthetic_corrected_rating_5.39.png,5.388545988536815,5,0.76
16,synthetic_corrected_rating_2.92.png,2.9197627666613912,2,1.034
17,synthetic_corrected_rating_4.77.png,4.771350183067959,4,0.943
18,synthetic_corrected_rating_3.85.png,3.845556474864675,3,2.007
19,synthetic_corrected_rating_4.46.png,4.462752280333531,4,0.67
20,synthetic_corrected_rating_5.39.png,5.388545988536815,5,0.707
21,synthetic_corrected_rating_3.54.png,3.536958572130247,3,2.082
22,synthetic_corrected_rating_4.46.png,4.462752280333531,5,0.799
23,synthetic_corrected_rating_3.23.png,3.228360669395819,3,0.777
24,synthetic_corrected_rating_4.77.png,4.771350183067959,5,0.824
25,synthetic_corrected_rating_3.23.png,3.228360669395819,3,2.753
26,synthetic_corrected_rating_3.85.png,3.845556474864675,3,2.324
27,synthetic_corrected_rating_5.08.png,5.079948085802387,5,0.663
28,synthetic_corrected_rating_2.92.png,2.9197627666613912,2,1.207
29,synthetic_corrected_rating_2.92.png,2.9197627666613912,2,1.573
30,synthetic_corrected_rating_5.08.png,5.079948085802387,5,0.666
31,synthetic_corrected_rating_2.61.png,2.6111648639269633,2,0.707
32,synthetic_corrected_rating_2.92.png,2.9197627666613912,4,2.851
33,synthetic_corrected_rating_5.39.png,5.388545988536815,5,0.575
34,synthetic_corrected_rating_5.39.png,5.388545988536815,5,1.085
35,synthetic_corrected_rating_2.61.png,2.6111648639269633,2,1.511
36,synthetic_corrected_rating_3.85.png,3.845556474864675,4,1.168
37,synthetic_corrected_rating_3.85.png,3.845556474864675,4,1.026
38,synthetic_corrected_rating_4.77.png,4.771350183067959,5,0.702
39,synthetic_corrected_rating_2.92.png,2.9197627666613912,3,1.001
40,synthetic_corrected_rating_4.46.png,4.462752280333531,4,1.167
41,synthetic_corrected_rating_5.08.png,5.079948085802387,5,0.76
42,synthetic_corrected_rating_3.23.png,3.228360669395819,3,1.811
43,synthetic_corrected_rating_2.30.png,2.3025669611925355,2,2.072
44,synthetic_corrected_rating_5.08.png,5.079948085802387,4,0.955
45,synthetic_corrected_rating_3.85.png,3.845556474864675,4,3.938
46,synthetic_corrected_rating_2.92.png,2.9197627666613912,2,0.862
47,synthetic_corrected_rating_4.46.png,4.462752280333531,5,0.837
48,synthetic_corrected_rating_3.85.png,3.845556474864675,3,3.29
49,synthetic_corrected_rating_5.39.png,5.388545988536815,5,0.719
50,synthetic_corrected_rating_4.46.png,4.462752280333531,4,0.89
51,synthetic_corrected_rating_3.54.png,3.536958572130247,3,4.532
52,synthetic_corrected_rating_2.30.png,2.3025669611925355,3,1.707
53,synthetic_corrected_rating_3.85.png,3.845556474864675,2,0.007
54,synthetic_corrected_rating_2.61.png,2.6111648639269633,2,1.245
55,synthetic_corrected_rating_4.15.png,4.154154377599103,4,0.871
56,synthetic_corrected_rating_4.77.png,4.771350183067959,5,0.794
57,synthetic_corrected_rating_2.61.png,2.6111648639269633,2,1.199
58,synthetic_corrected_rating_2.61.png,2.6111648639269633,2,1.273
59,synthetic_corrected_rating_5.08.png,5.079948085802387,5,0.715
60,synthetic_corrected_rating_4.15.png,4.154154377599103,4,0.908
61,synthetic_corrected_rating_2.61.png,2.6111648639269633,3,1.678
62,synthetic_corrected_rating_3.23.png,3.228360669395819,3,1.387
63,synthetic_corrected_rating_4.46.png,4.462752280333531,4,2.117
64,synthetic_corrected_rating_3.23.png,3.228360669395819,3,1.057
65,synthetic_corrected_rating_4.77.png,4.771350183067959,4,0.969
66,synthetic_corrected_rating_2.61.png,2.6111648639269633,3,0.829
67,synthetic_corrected_rating_2.92.png,2.9197627666613912,3,0.873
68,synthetic_corrected_rating_3.85.png,3.845556474864675,4,0.774
69,synthetic_corrected_rating_4.15.png,4.154154377599103,4,0.546
70,synthetic_corrected_rating_5.08.png,5.079948085802387,5,0.547
71,synthetic_corrected_rating_2.30.png,2.3025669611925355,3,0.852
72,synthetic_corrected_rating_2.30.png,2.3025669611925355,3,1.621
73,synthetic_corrected_rating_5.08.png,5.079948085802387,4,0.818
74,synthetic_corrected_rating_3.23.png,3.228360669395819,3,0.869
75,synthetic_corrected_rating_3.54.png,3.536958572130247,3,1.314
76,synthetic_corrected_rating_2.30.png,2.3025669611925355,2,1.005
77,synthetic_corrected_rating_3.54.png,3.536958572130247,4,2.443
78,synthetic_corrected_rating_4.77.png,4.771350183067959,5,0.808
79,synthetic_corrected_rating_3.85.png,3.845556474864675,3,1.783
80,synthetic_corrected_rating_4.46.png,4.462752280333531,5,0.904
81,synthetic_corrected_rating_5.39.png,5.388545988536815,5,0.501
82,synthetic_corrected_rating_3.54.png,3.536958572130247,3,1.479
83,synthetic_corrected_rating_2.30.png,2.3025669611925355,3,1.719
84,synthetic_corrected_rating_4.15.png,4.154154377599103,4,1.985
85,synthetic_corrected_rating_4.46.png,4.462752280333531,5,0.928
86,synthetic_corrected_rating_2.92.png,2.9197627666613912,2,0.857
87,synthetic_corrected_rating_2.30.png,2.3025669611925355,2,0.707
88,synthetic_corrected_rating_4.77.png,4.771350183067959,4,1.699
89,synthetic_corrected_rating_4.15.png,4.154154377599103,4,1.717
90,synthetic_corrected_rating_4.15.png,4.154154377599103,4,1.49
91,synthetic_corrected_rating_5.08.png,5.079948085802387,5,0.834
92,synthetic_corrected_rating_5.08.png,5.079948085802387,5,0.911
93,synthetic_corrected_rating_5.39.png,5.388545988536815,5,0.611
94,synthetic_corrected_rating_5.39.png,5.388545988536815,5,0.947
95,synthetic_corrected_rating_2.61.png,2.6111648639269633,2,0.985
96,synthetic_corrected_rating_5.08.png,5.079948085802387,5,0.611
97,synthetic_corrected_rating_3.23.png,3.228360669395819,2,1.235
98,synthetic_corrected_rating_2.30.png,2.3025669611925355,2,0.645
99,synthetic_corrected_rating_3.54.png,3.536958572130247,3,1.213
100,synthetic_corrected_rating_2.92.png,2.9197627666613912,2,0.834
101,synthetic_corrected_rating_4.15.png,4.154154377599103,5,1.535
102,synthetic_corrected_rating_3.23.png,3.228360669395819,3,0.892
103,synthetic_corrected_rating_2.61.png,2.6111648639269633,2,0.651
104,synthetic_corrected_rating_3.54.png,3.536958572130247,3,2.13
105,synthetic_corrected_rating_4.15.png,4.154154377599103,4,1.658
