presentation_order,adapt_label,adapt_rating,test_target_rating,adapt_duration_s,test_duration_s,response,rt_seconds
1,happy_endpoint,5.388545988536815,2.8,24.4,0.76,3,4.936
2,sad_endpoint,2.3025669611925355,3.2,20.26,0.98,2,6.123
3,sad_endpoint,2.3025669611925355,3.0,23.3,0.97,3,9.951
4,sad_endpoint,2.3025669611925355,2.8,28.28,0.51,3,4.627
5,sad_endpoint,2.3025669611925355,3.0,24.08,0.86,3,7.064
6,sad_endpoint,2.3025669611925355,3.2,25.77,0.85,4,7.629
7,sad_endpoint,2.3025669611925355,3.0,28.59,0.7,3,1.607
8,sad_endpoint,2.3025669611925355,2.8,25.98,0.53,3,1.314
9,happy_endpoint,5.388545988536815,3.0,29.82,0.83,3,2.599
10,sad_endpoint,2.3025669611925355,3.2,28.48,0.66,4,1.421
11,happy_endpoint,5.388545988536815,2.8,29.92,0.97,2,1.088
12,happy_endpoint,5.388545988536815,3.2,22.27,0.51,3,6.235
13,sad_endpoint,2.3025669611925355,2.8,26.85,0.6,3,2.384
14,happy_endpoint,5.388545988536815,3.0,28.85,0.58,2,1.667
15,happy_endpoint,5.388545988536815,3.0,28.98,0.54,3,1.925
16,happy_endpoint,5.388545988536815,2.8,22.13,0.51,3,2.595
17,happy_endpoint,5.388545988536815,3.2,23.97,0.86,4,1.56
18,happy_endpoint,5.388545988536815,3.2,20.93,0.68,4,0.944
